"type","certified","body","make","model","trim","mileage","price","year","dealer","city","rating","reviews","badge"
"Used",0,"Sedan","Nissan","Versa","1.6 S",52970,6782,2016,"Long Beach BMW","Signal Hill",4.7,723,"Great Deal"
"Used",1,"SUV","Dodge","Durango","R/T",13039,38399,2020,"Glenn E Thomas Dodge Chrysler Jeep RAM","Signal Hill",4.6,33,"Good Deal"
"Used",0,"Sedan","Chrysler","300","Base",67199,12900,2014,"OnQ Auto Group Inc","Corona",2.7,11,"Good Deal"
"New",0,"Coupe","Subaru","BRZ","TS",1,32997,2020,"Timmons of Long Beach","Long Beach",3.5,40,
"Used",0,"Sedan","Ford","Fusion","Sport",51359,15989,2017,"Catalano Motors Inc","Corona",0,0,"Great Deal"
"New",0,"SUV","MINI","Countryman","Cooper S",3,36745,2020,"Long Beach MINI","Signal Hill",3.5,8,
"Used",0,"SUV","Ford","Flex","Limited",94532,11999,2015,"605 Auto Sales","Bellflower",5,3,
"Used",0,"Crew Cab Pickup","Cadillac","Escalade EXT","",109465,18995,2008,"Corona Auto & Truck Wholesale","Corona",0,9,"Good Deal"
"Used",0,"Sedan","Maserati","Ghibli","S",54056,28995,2017,"Puente Hills Mitsubishi","City of Industry",2.7,14,"Great Deal"
"New",0,"SUV","BMW","X1","sDrive28i",5,39295,2020,"McKenna BMW","Norwalk",4.9,464,
"New",0,"SUV","BMW","X3 PHEV","xDrive30e",5,55970,2020,"McKenna BMW","Norwalk",4.9,464,
"Used",0,"Coupe","Maserati","GranTurismo","",41475,24950,2008,"All In Auto Group","Norco",1.1,22,"Great Deal"
"Used",0,"Sedan","Cadillac","ATS","2.5L Luxury",79583,10950,2013,"All In Auto Group","Norco",1.1,22,"Good Deal"
"Used",0,"Hatchback","Honda","Fit","LX",61238,8999,2016,"A-Lux Auto","Norwalk",2.8,110,
"Used",0,"SUV","Land Rover","Discovery Sport","HSE",21696,27575,2017,"Diamond Honda","City of Industry",2.2,15,"Good Deal"
"New",0,"SUV","Mazda","CX-3","Touring",10,23370,2019,"Puente Hills Mazda","City of Industry",5,1,
"New",0,"SUV","Ford","Escape","Titanium Hybrid",10,32710,2020,"Puente Hills Ford","City of Industry",4.4,196,
"New",0,"SUV","Nissan","Rogue Sport","SV",2047,22489,2019,"Puente Hills Nissan","City of Industry",4.3,37,
"New",0,"Crew Cab Pickup","RAM","1500 Classic","Warlock",13,31998,2019,"Champion Chrysler Jeep Dodge RAM","Downey",3.3,101,
"Used",0,"Sedan","Hyundai","Elantra","Value Edition",42344,10599,2018,"Corona Motors Direct","Norco",1.6,12,"Great Deal"
"Used",0,"Sedan","BMW","640 Gran Coupe","i",39775,34999,2017,"Corona Motors Direct","Norco",1.6,12,"Great Deal"
"New",0,"Sedan","Chevrolet","Malibu","1LS",4,19092,2020,"Win Chevrolet","Carson",3.6,213,
"New",0,"SUV","Hyundai","Tucson","SE",3245,19149,2019,"WIN Hyundai Carson","Carson",1,37,
"New",0,"SUV","Nissan","Rogue","SV",4,28880,2020,"Carson Nissan","Carson",4.8,3428,
"New",0,"Sedan","Hyundai","Sonata","SEL Plus",11,26576,2020,"Downey Hyundai","Downey",4.7,1030,
"New",0,"SUV","Nissan","Pathfinder","SV",6,37825,2019,"Carson Nissan","Carson",4.8,3428,
"Used",0,"SUV","Toyota","Highlander","XLE",30059,25699,2017,"LA Auto Exchange","Montebello",1.7,47,"Great Deal"
"Used",0,"Sedan","Ford","Fusion","SE",46017,10499,2016,"LA Auto Exchange","Montebello",1.7,47,"Great Deal"
"Used",0,"Hatchback","FIAT","500e","Battery Electric",19464,7499,2017,"LA Auto Exchange","Montebello",1.7,47,"Great Deal"
"Used",0,"Hatchback","Nissan","Leaf","S",34111,9199,2015,"LA Auto Exchange #1","West Covina",1.4,21,"Great Deal"
"Used",0,"SUV","Jeep","Cherokee","Limited",80558,12899,2015,"LA Auto Exchange #1","West Covina",1.4,21,
"Used",0,"Sedan","Kia","Optima","SX Turbo",10979,24199,2019,"Montclair Auto Exchange","Montclair",0,0,"Good Deal"
"Used",0,"SUV","Mercedes-Benz",,"GLK 250 BlueTEC 4MATIC",73804,15199,2014,"Montclair Auto Exchange","Montclair",0,0,"Good Deal"
"Used",0,"Crew Cab Pickup","Cadillac","Escalade EXT","Premium",130539,17999,2010,"KarGenie","Montclair",5,3,"Fair Price"
"Used",0,"Hatchback","FIAT","500e","Battery Electric",25451,7499,2017,"Montclair Auto Exchange","Montclair",0,0,"Great Deal"
"Used",0,"SUV","Buick","Enclave","Essence",33773,24999,2018,"Infiniti of South Bay","Torrance",4.5,465,"Great Deal"
"Used",0,"Minivan","Kia","Sedona","LX",55069,13330,2016,"Commerce Mitsubishi","Commerce",4.2,15,"Good Deal"
"Used",0,"SUV","Toyota","Highlander","LE",30560,23499,2019,"Commerce Mitsubishi","Commerce",4.2,15,"Great Deal"
"New",0,"Passenger Van","Mercedes-Benz","Metris","Base",9,41444,2019,"Mercedes-Benz of South Bay","Torrance",4.6,721,
"New",0,"Extended Cab Pickup","Nissan","Frontier","SV",7,28998,2019,"Ross Nissan","El Monte",2.5,41,
"New",0,"SUV","Mercedes-Benz","GLE 350","Base",7,65935,2020,"Mercedes-Benz of South Bay","Torrance",4.6,721,
"Used",0,"Convertible","Audi","TT","2.0T",20988,27888,2016,"Jaguar Land Rover Newport Beach","Newport Beach",0,0,"Good Deal"
"Used",0,"Wagon","Volvo","V60","T5 Momentum",3443,43998,2020,"Volvo Cars of Orange County","Santa Ana",3.6,78,"Great Deal"
"New",0,"SUV","Cadillac","Escalade ESV","Luxury",0,76541,2020,"Suburban Buick GMC Cadillac","Costa Mesa",3,487,
"Used",0,"SUV","Dodge","Journey","SE",19955,15300,2018,"Vroom - Buy a Car Without Leaving the House","Irvine",0,0,"Great Deal"
"Used",0,"SUV","Jaguar","E-PACE","P250",4811,27550,2018,"Vroom - Buy a Car Without Leaving the House","Irvine",0,0,
"Used",0,"Sedan","Ford","Fusion Hybrid","SE",40325,14880,2018,"Vroom - Buy a Car Without Leaving the House","Irvine",0,0,"Good Deal"
"New",0,"Crew Cab Pickup","Nissan","Titan","SV",0,43025,2019,"Nissan of Costa Mesa","Costa Mesa",0,0,
"New",0,"SUV","Nissan","Rogue Sport","S",0,22945,2020,"Nissan of Costa Mesa","Costa Mesa",0,0,
"New",0,"Crew Cab Pickup","RAM","1500 Classic","Laramie",5,41905,2019,"Orange Coast Chrysler Jeep Dodge Ram","Costa Mesa",4.5,407,
"New",0,"Crew Cab Pickup","RAM","1500","Rebel",5,66991,2020,"Orange Coast Chrysler Jeep Dodge Ram","Costa Mesa",4.5,407,
"New",0,"SUV","Cadillac","XT5","Luxury",0,42183,2020,"Suburban Buick GMC Cadillac","Costa Mesa",3,487,
"New",0,"Sedan","Cadillac","CT4","Sport",0,44865,2020,"Suburban Buick GMC Cadillac","Costa Mesa",3,487,
"New",0,"SUV","INFINITI","QX60","LUXE",10,55140,2020,"AutoNation INFINITI Tustin","Tustin",4.7,394,
"New",0,"SUV","Chevrolet","Blazer","RS",0,42666,2020,"Connell Chevrolet","Costa Mesa",5,132,
"New",0,"Sedan","Chevrolet","Impala","1LT",3,32533,2019,"Connell Chevrolet","Costa Mesa",5,132,
"New",0,"Crew Cab Pickup","Ford","F-350","Lariat",11,68140,2019,"Theodore Robins Ford","Costa Mesa",2.3,335,
"Used",0,"Hatchback","Ford","Focus Electric","Base",62281,6599,2013,"California Motors Direct","Santa Ana",1.5,186,
"New",0,"SUV","Mazda","CX-3","Sport",0,21740,2020,"Tuttle-Click Mazda","Irvine",4,28,
"Used",0,"Sedan","Ford","Fusion Hybrid","SEL",11455,17960,2019,"STG Auto Group - Garden Grove","Garden Grove",4.4,38,"Good Deal"
"New",0,"SUV","Nissan","Rogue Sport","SL",2,25887,2020,"Surf City Nissan","Huntington Beach",1,1,
"New",0,"Sedan","Toyota","Camry","XSE",5,31842,2020,"Toyota of Huntington Beach","Huntington Beach",3.7,3,
"New",0,"SUV","Volkswagen","Atlas Cross Sport","3.6 V6 SEL",12,42880,2020,"McKenna Volkswagen","Huntington Beach",1.6,40,
"New",0,"Sedan","Volkswagen","Jetta GLI","2.0T Autobahn",11,32605,2020,"Volkswagen of Garden Grove","Garden Grove",2.3,55,
"Used",0,"SUV","Ford","Edge","SEL",34643,15888,2016,"Volkswagen of Garden Grove","Garden Grove",2.3,55,"Great Deal"
"New",0,"SUV","Jeep","Wrangler Unlimited","Rubicon",2,71995,2020,"Huntington Beach Chrysler Dodge Jeep Ram","Huntington Beach",1.8,236,
"Used",0,"Minivan","Dodge","Grand Caravan","SXT",44060,14000,2019,"Huntington Beach Chrysler Dodge Jeep Ram","Huntington Beach",1.8,236,"Great Deal"
"New",0,"Crew Cab Pickup","RAM","1500 Classic","Tradesman",2,30100,2019,"Huntington Beach Chrysler Dodge Jeep Ram","Huntington Beach",1.8,236,
"Used",0,"SUV","Ford","Edge","Titanium",48441,16000,2018,"Huntington Beach Chrysler Dodge Jeep Ram","Huntington Beach",1.8,236,"Great Deal"
"New",0,"SUV","Jeep","Cherokee","Limited",2,30100,2020,"Huntington Beach Chrysler Dodge Jeep Ram","Huntington Beach",1.8,236,
"New",0,"Crew Cab Pickup","GMC","Sierra 1500","AT4",27,49955,2020,"Hardin Buick GMC","Anaheim",4.6,438,
"New",0,"Cargo Van","Ford","Transit-250","Base",13,36700,2020,"Villa Ford of Orange","Orange",3.8,15,
"Used",0,"Minivan","Chrysler","Pacifica","Touring-L",46182,20947,2019,"Hertz Car Sales Anaheim","Anaheim",3.4,6,"Great Deal"
"Used",0,"Minivan","Dodge","Grand Caravan","GT",48739,15625,2019,"Hertz Car Sales Anaheim","Anaheim",3.4,6,"Great Deal"
"New",0,"SUV","Hyundai","Tucson","Value",9,26295,2020,"Allen Hyundai of Laguna Niguel","Laguna Niguel",3,858,
"Used",0,"Hatchback","Chevrolet","Sonic","LT",80009,7099,2015,"California Motors Direct","Stanton",2.9,177,"Great Deal"
"Used",0,"Sedan","Cadillac","XTS","Luxury",29875,24307,2019,"Hertz Car Sales Anaheim","Anaheim",3.4,6,"Great Deal"
"Used",0,"Minivan","Dodge","Grand Caravan","GT",44465,14834,2018,"Hertz Car Sales Anaheim","Anaheim",3.4,6,"Good Deal"
"New",0,"SUV","Volvo","XC90","T6 Momentum 7 Passenger",0,58326,2020,"Volvo Cars Mission Viejo","Mission Viejo",4.2,32,
"Used",0,"Sedan","Nissan","Sentra","SR",50738,8788,2015,"SC Motors II","Placentia",2.2,25,"Great Deal"
"Used",0,"Sedan","Cadillac","ATS","2.5L Luxury",29996,17999,2015,"Car Castle","Fullerton",2.5,5,"Good Deal"
"Used",0,"Coupe","BMW","428","i SULEV",47569,15899,2016,"OC Auto Exchange","Fullerton",1,116,
"Used",0,"Hatchback","Nissan","Leaf","S",21114,11000,2017,"Buena Park Nissan","Buena Park",5,28,"Great Deal"
"Used",0,"SUV","Acura","RDX","",150470,6990,2009,"American Motors","Fullerton",4.3,41,"Good Deal"
"New",0,"SUV","Mercedes-Benz","GLE 580","Base 4MATIC",5,80395,2020,"House of Imports","Buena Park",4.5,736,
"Used",0,"SUV","Acura","MDX","3.5L w/Technology Package",45653,27693,2017,"Buena Park Honda","Buena Park",3.5,341,"Good Deal"
"Used",0,"SUV","Audi","Q3","2.0T Premium Plus",40827,17395,2015,"Paradise Automotive Group","San Juan Capistrano",5,20,"Good Deal"
"New",0,"Coupe","Porsche","718 Cayman","S",60,69990,2018,"Circle Porsche","Long Beach",3.8,25,
"New",0,"SUV","Mitsubishi","Outlander PHEV","SEL",2,32028,2019,"Auto Gallery Mitsubishi - Corona","Corona",2.5,142,
"New",0,"SUV","Lexus","NX 300","F Sport",7,44902,2020,"Lexus of Cerritos","Cerritos",4.7,903,
"New",0,"SUV","Nissan","Rogue","SL",1,32570,2020,"Larry H Miller Nissan Corona","Corona",4.3,164,
"New",0,"SUV","Lexus","NX 300","Base",10,42468,2020,"Lexus of Cerritos","Cerritos",4.7,903,
"Used",0,"Sedan","Scion","iA","",49985,10899,2016,"AutoNation Toyota Cerritos","Cerritos",4.3,916,"Good Deal"
"New",0,"SUV","Nissan","Rogue","SL",1,32175,2020,"Larry H Miller Nissan Corona","Corona",4.3,164,
"New",0,"SUV","Nissan","Rogue","SL",1,32160,2020,"Larry H Miller Nissan Corona","Corona",4.3,164,
"New",0,"SUV","Hyundai","Kona EV","Limited",0,39980,2020,"Cardinale Way Hyundai","Corona",1.9,61,
"New",0,"Sedan","Hyundai","Elantra","Value Edition",50,18360,2020,"Cardinale Way Hyundai","Corona",1.9,61,
"New",0,"SUV","Mazda","CX-9","Grand Touring",1,40269,2020,"Cardinale Way Mazda","Corona",0,30,
"Used",0,"Sedan","Nissan","Altima","2.5 SR",43210,13599,2017,"AutoNation Toyota Cerritos","Cerritos",4.3,916,"Good Deal"
"New",0,"Crew Cab Pickup","RAM","1500","Rebel",11,40740,2020,"Glenn E Thomas Dodge Chrysler Jeep RAM","Signal Hill",4.6,33,
"New",0,"Sedan","BMW","740","i",8,91645,2020,"Long Beach BMW","Signal Hill",4.7,723,
"New",0,"SUV","Subaru","Crosstrek","Premium",1,24924,2020,"Timmons of Long Beach","Long Beach",3.5,40,
"Used",0,"Minivan","Dodge","Grand Caravan","SXT",47959,13954,2019,"Puente Hills Mazda","City of Industry",5,1,"Great Deal"
"Used",0,"SUV","INFINITI","QX80","Luxe",34542,38193,2019,"Puente Hills Ford","City of Industry",4.4,196,"Good Deal"
"Used",0,"SUV","Ford","Edge","Limited",92448,8999,2012,"A-Lux Auto","Norwalk",2.8,110,"Great Deal"
"Used",0,"Hatchback","BMW","430 Gran Coupe","i",25331,28500,2018,"Puente Hills Mitsubishi","City of Industry",2.7,14,"Good Deal"
"New",0,"SUV","Ford","EcoSport","SE",2,19713,2019,"Puente Hills Ford","City of Industry",4.4,196,
"Used",0,"Sedan","Lincoln","Continental","Reserve",34965,24199,2017,"Corona Motors Direct","Norco",1.6,12,"Great Deal"
"Used",0,"Hatchback","FIAT","500","Sport",56769,6799,2015,"Corona Motors Direct","Norco",1.6,12,
"New",0,"SUV","Chevrolet","Equinox","2LT",1,23591,2020,"Win Chevrolet","Carson",3.6,213,
"New",0,"Sedan","Chevrolet","Malibu","LT",7,20722,2020,"Win Chevrolet","Carson",3.6,213,
"Used",0,"Sedan","Lexus","IS 200t","Base",21120,18999,2016,"Ournextcar, LLC","Downey",3,21,
"Used",0,"Minivan","Dodge","Grand Caravan","SXT",48508,14199,2018,"California Motor Trade","Downey",2.5,11,"Good Deal"
"Used",0,"Sedan","Volkswagen","Jetta","1.4T S w/Technology",31125,10199,2016,"LA Auto Exchange","Montebello",1.7,47,
"Used",0,"Sedan","Toyota","Corolla","S Plus",64870,11599,2016,"LA Auto Exchange #1","West Covina",1.4,21,
"New",0,"SUV","Dodge","Journey","GT",8,27989,2019,"West Covina Chrysler Dodge Jeep Ram","West Covina",1.3,17,
"Used",0,"SUV","GMC","Acadia Limited","Limited",24300,22099,2017,"California Motors Direct - Montclair","Montclair",1.6,36,
"Used",0,"SUV","Chevrolet","Suburban","LS",37414,33263,2017,"STG Auto Group","Ontario",4.5,347,"Good Deal"
"Used",0,"Sedan","Chevrolet","Malibu","1LS",17941,14657,2018,"STG Auto Group","Ontario",4.5,347,"Good Deal"
"Used",0,"Sedan","Hyundai","Sonata","Sport 2.0T",43281,13499,2017,"Montclair Auto Exchange","Montclair",0,0,"Good Deal"
"Used",0,"Hatchback","FIAT","500e","Battery Electric",37749,7599,2016,"Montclair Auto Exchange","Montclair",0,0,"Great Deal"
"Used",0,"SUV","Lexus","GX 460","Premium",82324,24350,2011,"St. Mina Auto Sales","Montclair",4.5,38,"Fair Price"
"Used",0,"Coupe","Kia","Forte Koup","EX",58403,7199,2014,"LA Auto Exchange #2","El Monte",5,4,
"Used",0,"Sedan","Nissan","Maxima","3.5 SV",35371,18678,2019,"Commerce Mitsubishi","Commerce",4.2,15,"Great Deal"
"New",0,"SUV","Ford","Expedition","King Ranch",8,77475,2020,"AutoNation Ford Torrance","Torrance",4.4,411,
"New",0,"SUV","Jaguar","I-PACE","HSE",53,80974,2020,"Jaguar Land Rover South Bay","Torrance",4.6,184,
"Used",0,"SUV","Toyota","Venza","LE",130923,9499,2013,"SoCal Cars","Bell",0,0,"Good Deal"
"Used",0,"Passenger Van","Chevrolet","Express 3500","LT",47447,17888,2018,"DCH Toyota of Torrance","Torrance",3.9,388,"Great Deal"
"New",0,"SUV","Nissan","Kicks","SR",0,23150,2020,"Metro Nissan of Montclair","Montclair",4.9,613,
"New",0,"SUV","Nissan","Kicks","SR",0,23355,2020,"Metro Nissan of Montclair","Montclair",4.9,613,
"New",0,"SUV","Nissan","Kicks","SR",0,23500,2020,"Metro Nissan of Montclair","Montclair",4.9,613,
"New",0,"Cargo Van","Mercedes-Benz","Metris","Base",14,33653,2019,"Mercedes-Benz of South Bay","Torrance",4.6,721,
"Used",0,"Sedan","Hyundai","Elantra","SE",116914,4976,2014,"Commerce Mitsubishi","Commerce",4.2,15,"Great Deal"
"New",0,"SUV","Nissan","Kicks","SV",0,22530,2020,"Metro Nissan of Montclair","Montclair",4.9,613,
"New",0,"SUV","Nissan","Kicks","SV",0,22730,2020,"Metro Nissan of Montclair","Montclair",4.9,613,
"Used",0,"SUV","Lincoln","Navigator","",65713,24398,2015,"Jaguar Land Rover South Bay","Torrance",4.6,184,"Fair Price"
"New",0,"SUV","Land Rover","Range Rover Evoque","R-Dynamic HSE",10,64050,2020,"Jaguar Land Rover Newport Beach","Newport Beach",0,0,
"New",0,"SUV","Jaguar","I-PACE","EV400 HSE",10,86220,2020,"Jaguar Land Rover Newport Beach","Newport Beach",0,0,
"New",0,"SUV","Lincoln","Navigator L","Reserve",3,94640,2020,"Lincoln South Coast","Santa Ana",3.7,11,
"Used",0,"Minivan","Chrysler","Pacifica","Touring L",49526,18250,2018,"Vroom - Buy a Car Without Leaving the House","Irvine",0,0,"Great Deal"
"Used",0,"SUV","Dodge","Journey","Crossroad",24095,17200,2018,"Vroom - Buy a Car Without Leaving the House","Irvine",0,0,"Good Deal"
"New",0,"SUV","Buick","Envision","Premium II",5,43299,2020,"Tustin Buick GMC","Tustin",5,13,
"New",0,"SUV","Buick","Envision","Premium I",2,36591,2020,"Tustin Buick GMC","Tustin",5,13,
"New",0,"SUV","MINI","Countryman","Cooper S",10,36705,2020,"Crevier Mini","Santa Ana",0,17,
"New",0,"SUV","Buick","Enclave","Avenir",0,50762,2020,"Suburban Buick GMC Cadillac","Costa Mesa",3,487,
"Used",0,"SUV","Nissan","Kicks","SV",23271,15494,2019,"SC Car Zone","Costa Mesa",4.2,69,"Great Deal"
"Used",0,"Hatchback","BMW","535 Gran Turismo","i",33981,25900,2016,"California Beemers","Costa Mesa",4.5,36,"Good Deal"
"New",0,"Crew Cab Pickup","GMC","Sierra 1500","AT4",2,55575,2020,"Tustin Buick GMC","Tustin",5,13,
"New",0,"SUV","GMC","Yukon","SLT",7,57637,2020,"Tustin Buick GMC","Tustin",5,13,
"New",0,"Convertible","MINI","Convertible","Cooper S",10,37000,2020,"Crevier Mini","Santa Ana",0,17,
"Used",0,"Sedan","Maserati","Quattroporte","S GranLusso",19475,52900,2017,"Ferrari Maserati of Newport Beach","Newport Beach",5,112,"Good Deal"
"Used",0,"Sedan","Nissan","Altima","2.5 S",72248,10199,2017,"California Motors Direct","Santa Ana",1.5,186,
"New",0,"Sedan","Kia","Forte","EX",2,21850,2020,"Garden Grove Kia","Garden Grove",3,53,
"New",0,"Sedan","Kia","Forte","GT",2,22250,2020,"Garden Grove Kia","Garden Grove",3,53,
"Used",0,"Wagon","Kia","Soul","+",33458,14495,2016,"Garden Grove Kia","Garden Grove",3,53,"Fair Price"
"New",0,"SUV","Kia","Niro","L",13,27445,2020,"Car Pros Kia Huntington Beach","Huntington Beach",3.9,56,
"New",0,"SUV","Kia","Niro","L",15,27445,2020,"Car Pros Kia Huntington Beach","Huntington Beach",3.9,56,
"New",0,"SUV","Nissan","Rogue Sport","S",5,21530,2020,"Surf City Nissan","Huntington Beach",1,1,
"Used",0,"Minivan","Dodge","Grand Caravan","SXT",45192,12500,2018,"Huntington Beach Chrysler Dodge Jeep Ram","Huntington Beach",1.8,236,"Great Deal"
"New",0,"Crew Cab Pickup","RAM","1500","Big Horn",2,33994,2020,"Huntington Beach Chrysler Dodge Jeep Ram","Huntington Beach",1.8,236,
"New",0,"Sedan","Genesis","G80","3.8",25,39878,2019,"Huntington Beach Hyundai","Huntington Beach",4.4,402,
"Used",0,"Sedan","Nissan","Altima","3.5 SL",49007,15691,2017,"Huntington Beach Hyundai","Huntington Beach",4.4,402,"Good Deal"
"Used",0,"Passenger Van","Mercedes-Benz","Metris","Base",18654,23481,2019,"Auto Republic","Orange",0,0,"Good Deal"
"Used",0,"Coupe","Lexus","RC 200t","Base",24729,26795,2016,"Deluxe Auto Dealer","Midway City",4,133,"Good Deal"
"Used",0,"SUV","Toyota","RAV4 EV","Base",82055,11990,2013,"Russell Westbrook Hyundai of Anaheim","Anaheim",1.9,242,
"New",0,"SUV","Ford","Edge","Titanium",34,35800,2020,"Villa Ford of Orange","Orange",3.8,15,
"New",0,"SUV","Ford","Edge","Titanium",2,34200,2020,"Villa Ford of Orange","Orange",3.8,15,
"Used",0,"Sedan","Genesis","G90","3.3T Premium",22451,38995,2017,"Allen Hyundai of Laguna Niguel","Laguna Niguel",3,858,"Good Deal"
"New",0,"SUV","Lexus","NX 300","Base",8,44618,2020,"South County Lexus","Mission Viejo",4.9,2639,
"Used",0,"Sedan","Lexus","HS 250h","250H",28589,14360,2011,"South County Lexus","Mission Viejo",4.9,2639,"Good Deal"
"New",0,"Hatchback","Hyundai","Ioniq Plug-In Hybrid","SEL",0,30415,2020,"Allen Hyundai of Laguna Niguel","Laguna Niguel",3,858,
"New",0,"Hatchback","Hyundai","Ioniq Plug-In Hybrid","SEL",9,30550,2020,"Allen Hyundai of Laguna Niguel","Laguna Niguel",3,858,
"New",0,"Hatchback","Hyundai","Ioniq Plug-In Hybrid","SEL",9,30550,2020,"Allen Hyundai of Laguna Niguel","Laguna Niguel",3,858,
"New",0,"Sedan","Volvo","S90","T5 Momentum",0,44998,2019,"Volvo Cars Mission Viejo","Mission Viejo",4.2,32,
"New",0,"SUV","Volvo","XC90","T6 Momentum 6 Passenger",0,58146,2020,"Volvo Cars Mission Viejo","Mission Viejo",4.2,32,
"Used",0,"Sedan","Lexus","ES 300h","Base",20946,22899,2017,"OC Auto Exchange","Fullerton",1,116,"Great Deal"
"Used",0,"Sedan","Nissan","Sentra","S",23906,9499,2016,"OC Auto Exchange","Fullerton",1,116,
"Used",0,"SUV","Ford","Flex","SEL",25975,17199,2017,"OC Auto Exchange","Fullerton",1,116,"Great Deal"
"Used",0,"SUV","Cadillac","XT5","Luxury",37157,21899,2017,"OC Auto Exchange","Fullerton",1,115,"Great Deal"
"Used",0,"Convertible","BMW","428","i",43973,21998,2015,"BMW of Buena Park","Buena Park",4.2,389,"Good Deal"
"New",0,"Sedan","Toyota","Avalon","TRD",4,44233,2020,"AutoNation Toyota Buena Park","Buena Park",4.4,496,
"Used",0,"Sedan","BMW","740","i",41417,32995,2016,"California Car Company","Brea",4,14,"Good Deal"
"New",0,"SUV","Toyota","C-HR","LE",5,22371,2020,"AutoNation Toyota Buena Park","Buena Park",4.4,496,
"Used",0,"SUV","Jeep","Wrangler Unlimited","Sport",17708,30500,2018,"Premier Chrysler Jeep Dodge Ram Buena Park","Buena Park",4.5,95,
"Used",0,"Cargo Van","Ford","Transit-350","XLT",31859,30500,2017,"Cal Worthington Ford","Long Beach",4.5,112,"Great Deal"
"New",0,"Cargo Van","Ford","Transit-250","148 WB Medium Roof Cargo",88,49424,2019,"Cal Worthington Ford","Long Beach",4.5,112,
"New",0,"SUV","Mazda","CX-5","Signature",1,37008,2020,"Cardinale Way Mazda","Corona",0,30,
"New",0,"SUV","Lexus","NX 300","F Sport",5,45027,2020,"Lexus of Cerritos","Cerritos",4.7,903,
"Used",0,"Coupe","Lexus","LC 500","Base",1689,79980,2019,"Lexus of Cerritos","Cerritos",4.7,903,"Good Deal"
"New",0,"SUV","Nissan","Pathfinder","SV",1,33520,2020,"Larry H Miller Nissan Corona","Corona",4.3,164,
"New",0,"Hatchback","Chevrolet","Sonic","LT",0,18987,2020,"Penske Chevrolet of Cerritos","Cerritos",4.4,95,
"New",0,"SUV","Buick","Encore","Preferred",5,22840,2020,"Penske Buick GMC of Cerritos","Cerritos",4.4,35,
"Used",1,"Coupe","Porsche","718 Cayman","Base",14692,53637,2018,"Circle Porsche","Long Beach",3.8,25,"Good Deal"
"New",0,"SUV","Lexus","GX 460","Premium",11,55935,2020,"Lexus of Cerritos","Cerritos",4.7,903,
"New",0,"SUV","Nissan","Rogue","SV",5,30875,2020,"Cerritos Nissan","Cerritos",5,16,
"New",0,"Crew Cab Pickup","GMC","Sierra 3500","Denali",5,72610,2020,"Penske Buick GMC of Cerritos","Cerritos",4.4,35,
"New",0,"SUV","Lexus","NX 300","Base",7,41207,2020,"Lexus of Cerritos","Cerritos",4.7,903,
"New",0,"Sedan","Toyota","Corolla Hybrid","LE",1,23888,2020,"AutoNation Toyota Cerritos","Cerritos",4.3,916,
"Used",1,"SUV","Nissan","Kicks","SV",4073,19826,2019,"Cerritos Nissan","Cerritos",5,16,"Good Deal"
"New",0,"SUV","Chevrolet","Trax","LS",3,19640,2020,"Penske Chevrolet of Cerritos","Cerritos",4.4,95,
"Used",0,"Sedan","Kia","Optima","LX",17474,14759,2019,"EchoPark Automotive Long Beach","Signal Hill",5,2,"Good Deal"
"New",0,"Hatchback","MINI","Hardtop","Cooper S",6,33000,2020,"Long Beach MINI","Signal Hill",3.5,8,
"New",0,"Hatchback","MINI","Hardtop","Cooper S",3,33160,2020,"Long Beach MINI","Signal Hill",3.5,8,
"New",0,"Hatchback","MINI","Hardtop","Cooper S",6,32160,2020,"Long Beach MINI","Signal Hill",3.5,8,
"Used",0,"Minivan","Chrysler","Town & Country","Touring",89934,9950,2014,"All In Auto Group","Norco",1.1,22,"Good Deal"
"Used",0,"Sedan","Chrysler","300","S",31659,20199,2019,"Hertz Car Sales Norwalk","Norwalk",0,26,"Good Deal"
"New",0,"SUV","Audi","Q5 e","55 Premium",5,56590,2020,"McKenna Audi","Norwalk",3,36,
"Used",0,"SUV","Jaguar","F-PACE","35t R-Sport",38549,34500,2017,"Shift Los Angeles","Whittier",2.3,32,"Good Deal"
"Used",0,"SUV","Lexus","GX 460","Base",44462,31995,2017,"Puente Hills Mitsubishi","City of Industry",2.7,14,"Good Deal"
"Used",0,"Sedan","Lexus","LS 460","Base",142333,8999,2008,"Concierge Motors","Corona",3.7,3,"Fair Price"
"Used",0,"Hatchback","Hyundai","Veloster","Base",90012,10000,2016,"Puente Hills Ford","City of Industry",4.4,196,"Good Deal"
"New",0,"SUV","Jeep","Wrangler Unlimited","Rubicon",15,48820,2019,"Champion Chrysler Jeep Dodge RAM","Downey",3.3,101,
"Used",0,"Hatchback","FIAT","500e","Battery Electric",34618,7199,2017,"Corona Motors Direct","Norco",1.6,12,"Great Deal"
"New",0,"SUV","Chevrolet","Trax","LT",2,15742,2020,"Win Chevrolet","Carson",3.6,213,
"New",0,"SUV","Chevrolet","Trax","LT",1,15989,2020,"Win Chevrolet","Carson",3.6,213,
"New",0,"SUV","Chevrolet","Traverse","LS",2,24999,2020,"Win Chevrolet","Carson",3.6,213,
"New",0,"Crew Cab Pickup","Chevrolet","Silverado 1500","RST",3,34752,2020,"Win Chevrolet","Carson",3.6,213,
"New",0,"Sedan","Chevrolet","Malibu","1LS",3,18962,2020,"Win Chevrolet","Carson",3.6,213,
